,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1968-09-16,0.3908248292916324,1.1085255476993603,1.1628431047143233,1.0829235920762
1968-09-17,0.39267949423296467,1.1206710561490378,1.1760691444021631,1.0943160890161348
1968-09-18,0.39278404346600493,1.1263543224223562,1.1849343988945042,1.0998758896669953
1968-09-19,0.39322178624228116,1.1262793718109456,1.181819812930317,1.0953381080615618
1968-09-20,0.3921063226667854,1.1254218909196165,1.183057590533648,1.0998913335995277
1968-09-23,0.39360977510106004,1.1256088314191175,1.1796614647148251,1.0946668170217104
1968-09-24,0.39714528306713676,1.1316427354201213,1.1827481805519975,1.0940035066710463
1968-09-25,0.396640676879504,1.1315655184806075,1.1845530974627005,1.0961538008847747
1968-09-26,0.39506054586732825,1.126854143572513,1.1802466432987937,1.0931553234806066
1968-09-27,0.3947678290367661,1.126443937680209,1.182774441353452,1.0983423629118572
1968-09-30,0.3934182175563357,1.1262672194264443,1.1877770867632118,1.1109678540286507
1968-10-01,0.3928161319101489,1.1281213913359074,1.1900573977329538,1.11320304991376
1968-10-02,0.39045424455347993,1.1258293761721219,1.1891139774660089,1.1138682722576285
1968-10-03,0.3884320385166552,1.1211599381221489,1.1821089086629644,1.1053597871493337
1968-10-04,0.38828533499085865,1.1175143490911212,1.1781426800505126,1.1040117560376281
1968-10-07,0.38810961062019794,1.1165625649689805,1.1775272868077908,1.1064589181556879
1968-10-08,0.3868136199046795,1.1110226361558306,1.1722125331139832,1.104382298051416
1968-10-09,0.3826600659775209,1.091656728939095,1.149796169707746,1.0833603351128356
1968-10-10,0.3816738542131687,1.092956389855961,1.1532417589671853,1.086935845304311
1968-10-11,0.3798063530249589,1.084190326856865,1.144943182223289,1.077630652261367
1968-10-14,0.3812025171467297,1.0812219645358465,1.134892403463617,1.0688439404912857
1968-10-15,0.38414273189108245,1.0839755427293676,1.1342891208283459,1.0707392695474387
1968-10-16,0.38202039579162717,1.0759231528359334,1.1258419124784527,1.060076221216725
1968-10-17,0.37804925365772346,1.0709104810804038,1.1281569931199393,1.061391920858076
1968-10-18,0.37815856037391127,1.0781707988299878,1.136737911428206,1.0671747308404052
1968-10-21,0.3786285577775841,1.0794000647578168,1.135058410845771,1.066254242955795
1968-10-22,0.3781975925305228,1.0751919253290574,1.1285716088340292,1.0613792503227133
1968-10-23,0.3794750205746797,1.0747808884655732,1.1223253695279987,1.0534042749101717
1968-10-24,0.37870028265781724,1.0751199518927035,1.1242772094718396,1.0589623498299559
1968-10-25,0.37875060657733833,1.0789267358133854,1.1276051445774407,1.0582327744473063
1968-10-28,0.3796802300774211,1.081033753334835,1.1278695294597667,1.057677645382125
1968-10-29,0.38295230959833176,1.084584958959156,1.1213630759218904,1.0479160846128341
1968-10-30,0.38229241652850476,1.0838036448344528,1.118795163075332,1.04413730396906
1968-10-31,0.3791352257628006,1.0774541985761112,1.116134450715103,1.0434555745538419
1968-11-01,0.37918766984000524,1.077200432020097,1.1158617961031847,1.042254053166184
1968-11-04,0.38297858532074647,1.08282068979055,1.1129481775215284,1.0387936393972466
1968-11-05,0.3828883622286037,1.0824530221293744,1.1118356299590284,1.0369247223239357
1968-11-06,0.3830354947711905,1.0806058909298955,1.1034591335730264,1.025745590575372
1968-11-07,0.38452714982859254,1.0824231936185609,1.0976630085170342,1.0176499694497076
1968-11-08,0.38618600533508307,1.0914411039261156,1.1092972897226474,1.0264792353217782
1968-11-11,0.38494321688932337,1.0899769325843143,1.1084502841623294,1.0270382798686197
1968-11-12,0.38826508840333307,1.1001396585576992,1.1180424758430896,1.0323811593378531
1968-11-13,0.38772303862394886,1.100251303089752,1.1168799752101075,1.0273636736079823
